sentence1,sentence2,label,,,,
not getting right treatment from hospital,senior alone isolated,0,,,,
depression anxiety,"school, family, friends, my future, hi my ex partner was a alcoholic n drink even through the night",0,,,,
lost a friend and unrequited love,"i’m very indecisive and i’ve grown to hate the person i am, i’ve made petty desicions and have turned into a boring person",0,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,0,,,,
family,"binge eating & purging, binge eating",0,,,,
I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,Having a bipolar Mom means I never know which Mom I get that day.,1,,,,
family issues and crisis,anxiety,0,,,,
advice about therapy,"can’t sleep, anxiety, ptsd",1,,,,
"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?",How do you get over an abusive past?,0,,,,
I'm just now realizing how lonely I actually am,Surrounded by company but still feel alone.,1,,,,
I scared I may be pregnant and he won't give up his old life,"My girlfriend just left me, her dad is abusive and he found out about us",0,,,,
my dog died and also pls talk about my fav singer,im bored,0,,,,
I'm worried about losing my job,My BPD girlfriend just discarded me. I feel so low.,0,,,,
dad,mum mom,1,,,,
Can someone figure out my sexuality for me because I can't,"why do parents always give me so much crap for nothing, they just add more, and more stipulations",0,,,,
my family really doesnt care about me I think.,3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,0,,,,
"i have frustration built up , anxiety, depression, and i feel like i’m going crazy i’m afraid of talking about how i feel",i’m dealing with 2 recent loses and feelings of numbness or deep frustration and sadness but i always feel like i never have someone to really listen to me i sometimes think about suicide or talking about it but i feel like my life isn’t as important or as urgent than others so i just push it aside,1,,,,
"I went to the psychologist and she diagnosed me of bipolar, obsessive compulsive personality disorder. She thinks I need more catharsis. But I think she needs to help me take everything out. I cant even write my feelings down anywhere.",I feel really stressed about college.,0,,,,
I want to talk,I want to hear about other people,1,,,,
"i've been with my husband for 23 years. emotional, physical, verbal and financial abuse. is it normal to become so angry that i feel like i cannot control my anger ow",emotionally abusive parent,0,,,,
"I am tired, work has been brutal lately.",I'm so depressed,0,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,I wish you could choose who your parents are.,0,,,,
relationship with boyfriend,i'm lonely angry sad and have no one to talk to at home with about my emotions,0,,,,
support,confusing relationship/commitment issues,0,,,,
I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,"why do parents always give me so much crap for nothing, they just add more, and more stipulations",0,,,,
my family makes me feel,"anxiety, negative thoughts, feeling like a bad person, trauma",0,,,,
I'm just now realizing how lonely I actually am,Family makes me feel restricted pressured,0,,,,
"i work at walmart, i'm over 65 and have underlying conditions  i was approved for loa till 4-22, i have send by fax ro sedgwick, my doctors recommendations that i not go ro work  can not however get an answer from sedgwick whether i can get paid, so i'm going to have to go back to work help",random people,0,,,,
I don't know if I'm ever going to fully outgrow my trauma.,I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,0,,,,
my something makes me feel,my something makes me feel,1,,,,
"stressed with important decisions, lack of motivation, bored af, feeling lost.",isolation and health mental health emotional issues. issues with self family issues adult living with adult kids,0,,,,
letting go after divorce,relationship,1,,,,
I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,I have left school but the bullies have never left my mind.  They still mock me.,1,,,,
i feel like a failure. i had 6-7 mid term papers due today i couldn't complete any of them. i cannot focus on the task enough to form a sentence. i'm so unmotivated to force myself. i feel so useless.,work,0,,,,
When your boss says I don't care more than any other phrase...,"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",0,,,,
getting hard,loss,0,,,,
family,recently i've been really overwhelmed and just like life is really hard and not worth it and i was struggling because i didn't know who to tell i felt crazy but then i read this article on the website and felt so seen,0,,,,
trust issues,feelingly lonely and like i need to vent about things but don't want to burden my family,0,,,,
I feel stressed out about relationships and i don’t know if I’ll ever have one,Days just get lonelier with no relief.,0,,,,
feel sick,Work makes me feel stressed,0,,,,
my work makes me feel,"anxiety, kinda depressed over mixed feelings",0,,,,
work issues,work related,1,,,,
can I hide a pregnancy from my mom?,I'm gay and no one knows. Should I tell people?,0,,,,
No one actually cares about me. Being left alone when I'm struggling sucks.,i feel i am getting apart fron my family,0,,,,
"i hate that deeply rooted emotional trauma makes everything so difficult, whether it's loving someone, being the person you want to be, anything. it just sucks.",Sometimes being a military wife sucks!,0,,,,
girls,sex,1,,,,
